CustomerKey,City,FirstName,LastName,FullName,Gender,DateFirstPurchase
11000,Rockhampton,Jon,Yang,Jon Yang,Male,2021-01-19
11001,Seaford,Eugene,Huang,Eugene Huang,Male,2021-01-15
11002,Hobart,Ruben,Torres,Ruben Torres,Male,2021-01-07
11003,North Ryde,Christy,Zhu,Christy Zhu,Female,2020-12-29
11004,Wollongong,Elizabeth,Johnson,Elizabeth Johnson,Female,2021-01-23
11005,East Brisbane,Julio,Ruiz,Julio Ruiz,Male,2020-12-30
11006,Matraville,Janet,Alvarez,Janet Alvarez,Female,2021-01-24
11007,Warrnambool,Marco,Mehta,Marco Mehta,Male,2021-01-09
11008,Bendigo,Rob,Verhoff,Rob Verhoff,Female,2021-01-25
11009,Hervey Bay,Shannon,Carlson,Shannon Carlson,Male,2021-01-27
11010,East Brisbane,Jacquelyn,Suarez,Jacquelyn Suarez,Female,2021-01-14
11011,East Brisbane,Curtis,Lu,Curtis Lu,Male,2020-12-30
11012,Bremerton,Lauren,Walker,Lauren Walker,Female,2023-03-16
11013,Lebanon,Ian,Jenkins,Ian Jenkins,Male,2023-04-13
11014,Redmond,Sydney,Bennett,Sydney Bennett,Female,2023-03-23
11015,Burbank,Chloe,Young,Chloe Young,Female,2023-01-18
11016,Imperial Beach,Wyatt,Hill,Wyatt Hill,Male,2023-02-09
11017,Sunbury,Shannon,Wang,Shannon Wang,Female,2021-01-12
11018,Bendigo,Clarence,Rai,Clarence Rai,Male,2021-01-17
11019,Langley,Luke,Lal,Luke Lal,Male,2023-02-12
11020,Metchosin,Jordan,King,Jordan King,Male,2022-12-29
11021,Beaverton,Destiny,Wilson,Destiny Wilson,Female,2023-01-23
11022,Bellingham,Ethan,Zhang,Ethan Zhang,Male,2023-01-20
11023,Bellflower,Seth,Edwards,Seth Edwards,Male,2023-02-17
11024,Concord,Russell,Xie,Russell Xie,Male,2023-06-27
11025,Hawthorne,Alejandro,Beck,Alejandro Beck,Male,2021-01-06
11026,Goulburn,Harold,Sai,Harold Sai,Male,2021-01-23
11027,Warrnambool,Jessie,Zhao,Jessie Zhao,Male,2021-01-16
11028,St. Leonards,Jill,Jimenez,Jill Jimenez,Female,2021-01-26
11029,Bendigo,Jimmy,Moreno,Jimmy Moreno,Male,2021-01-19
11030,Cloverdale,Bethany,Yuan,Bethany Yuan,Female,2021-02-05
11031,Matraville,Theresa,Ramos,Theresa Ramos,Female,2021-02-01
11032,Melbourne,Denise,Stone,Denise Stone,Female,2021-02-18
11033,Milsons Point,Jaime,Nath,Jaime Nath,Male,2021-02-15
11034,North Sydney,Ebony,Gonzalez,Ebony Gonzalez,Female,2021-02-01
11035,Cranbourne,Wendy,Dominguez,Wendy Dominguez,Female,2021-02-06
11036,National City,Jennifer,Russell,Jennifer Russell,Female,2023-01-22
11037,Cliffside,Chloe,Garcia,Chloe Garcia,Female,2023-01-20
11038,Lavender Bay,Diana,Hernandez,Diana Hernandez,Female,2021-02-07
11039,Wollongong,Marc,Martin,Marc Martin,Male,2021-02-07
11040,Tacoma,Jesse,Murphy,Jesse Murphy,Male,2023-04-03
11041,Glendale,Amanda,Carter,Amanda Carter,Female,2023-01-14
11042,Los Angeles,Megan,Sanchez,Megan Sanchez,Female,2023-01-21
11043,Glendale,Nathan,Simmons,Nathan Simmons,Male,2023-05-08
11044,Hervey Bay,Adam,Flores,Adam Flores,Male,2021-02-28
11045,Matraville,Leonard,Nara,Leonard Nara,Male,2023-04-10
11046,Lavender Bay,Christine,Yuan,Christine Yuan,Female,2021-02-06
11047,Geelong,Jaclyn,Lu,Jaclyn Lu,Female,2021-02-03
11048,Sunbury,Jeremy,Powell,Jeremy Powell,Male,2021-02-10
11049,Chula Vista,Carol,Rai,Carol Rai,Female,2023-03-09
11050,Hobart,Alan,Zheng,Alan Zheng,Male,2021-02-20
11051,Caloundra,Daniel,Johnson,Daniel Johnson,Male,2023-12-29
11052,Matraville,Heidi,Lopez,Heidi Lopez,Female,2021-02-17
11053,San Diego,Ana,Price,Ana Price,Female,2023-01-17
11054,Geelong,Deanna,Munoz,Deanna Munoz,Female,2021-02-03
11055,East Brisbane,Gilbert,Raje,Gilbert Raje,Male,2021-01-31
11056,Newcastle,Michele,Nath,Michele Nath,Female,2021-02-26
11057,Lane Cove,Carl,Andersen,Carl Andersen,Male,2021-02-22
11058,Findon,Marc,Diaz,Marc Diaz,Male,2021-03-09
11059,Townsville,Ashlee,Andersen,Ashlee Andersen,Female,2023-02-18
11060,Warrnambool,Jon,Zhou,Jon Zhou,Male,2021-03-19
11061,Gold Coast,Todd,Gao,Todd Gao,Male,2021-03-13
11062,Portland,Noah,Powell,Noah Powell,Male,2023-01-07
11063,Redmond,Angela,Murphy,Angela Murphy,Female,2023-01-12
11064,Downey,Chase,Reed,Chase Reed,Male,2023-01-25
11065,La Jolla,Jessica,Henderson,Jessica Henderson,Female,2023-02-10
11066,Lebanon,Grace,Butler,Grace Butler,Female,2023-05-31
11067,Port Orchard,Caleb,Carter,Caleb Carter,Male,2023-08-18
11068,Warrnambool,Tiffany,Liang,Tiffany Liang,Female,2023-04-30
11069,Gold Coast,Carolyn,Navarro,Carolyn Navarro,Female,2021-04-17
11070,Sunbury,Willie,Raji,Willie Raji,Male,2021-04-28
11071,Hawthorne,Linda,Serrano,Linda Serrano,Female,2023-03-01
11072,St. Leonards,Casey,Luo,Casey Luo,Female,2021-03-31
11073,Springwood,Amy,Ye,Amy Ye,Female,2023-03-23
